"Rank","Song","Artist","Year","Lyrics","Source"
42,"lady","little river band",1979," look around you look up here take time to make time make time to be there look around be a part feel for the winter but dont have a cold heartand i love you best youre not like the rest youre there when i need you youre there when i need im gonna need youa long time ago i had a lady to love she made me think of things i never thought of now shes gone and im on my own a love song has come into my mind a love song it was there all the timeso lady let me take a look at you now youre there on the dance floor making me want you somehow oh lady i think its only fair i should say to you dont be thinkin that i dont want you cause maybe i dolook around come to me i have no answers but know where i wanna be i look around play a part i was born in the winter and cooled by a warm heartand i love you best youre not like the rest youre there when i need you youre there when i need im gonna need youso lady let me take a look at you now youre there on the dance floor making me want you somehow oh lady i think its only fair i should say to you dont be thinkin that i dont want you cause maybe i do dont be thinkin that i dont want you lady i do ",1
43,"heaven must have sent you","bonnie pointer",1979," ive cried through many endless nights just holding my pillow tight then you came into my lonely days with your tender love and sweet ways now i dont know where you come from baby dont know where you been now baby heaven must have sent you into my arms now in the morning when i awake theres a smile upon my face you touch my heart with gladness wiped away all of my sadness oh so long ive needed love right near me a soft voice to cheer me heaven must have sent you baby into my life ooh its heaven in your arms its the sweetness of your charms makes me love you more each day in your arms i wanna stay wanna thank you for the joy youve brought me thank you for the things you taught me thank you for holding me close when i needed you the most now i dont know much about you baby but i know i cant live without you heaven must have sent you honey to love only me its heaven in your arms its the sweetness of your charms makes me love you more each day in your arms i wanna stay ",1
44,"hold the line","toto",1979," its not in the way that you hold me its not in the way you say you care its not in the way youve been treating my friends its not in the way that you stayed till the end its not in the way you look or the things that you say that youll dohold the line love isnt always on time oh oh oh hold the line love isnt always on time oh oh ohits not in the words that you told me girl its not in the way you say youre mine ooh its not in the way that you came back to me its not in the way that your love set me free its not in the way you look or the things that you say that youll dohold the line love isnt always on time oh oh oh hold the line love isnt always on time oh oh ohits not in the words that you told me its not in the way you say youre mine ooh its not in the way that you came back to me its not in the way that your love set me free its not in the way you look or the things that you say that youll dohold the line love isnt always on time oh oh oh hold the line love isnt always on time love isnt always on time hold the line love isnt always on time love isnt always love isnt always on time hold the line love isnt always on time love isnt always on time love isnt always on time love isnt always on time oh oh oh ",1
45,"hes the greatest dancer","sister sledge",1979," oh what wow hes the greatest dancer oh what wow that ive ever seenoh what wow hes the greatest dancer oh what wowone night in a disco on the outskirts of frisco i was cruisin with my favorite gang the place was so borin filled with outoftowners tourin i knew that it wasnt my thingi really wasnt carin but i felt my eyes starin at a guy who stuck out in the crowd he had the kind of body that would shame adonis and a face that would make any man proudoh what wow hes the greatest dancer oh what wow that ive ever seenoh what wow hes the greatest dancer oh what wowthe champion of dance his moves would put you in a trance and he never leaves the disco alone arrogance but not conceit as a man he is complete my crme de la crme please take me homehe wears the finest clothes the best designers heaven knows ooo from his head down to his toes halston gucci fiorucci he looks like a still that man is dressed to killoh what wow hes the greatest dancer oh what wow that ive ever seen ive ever seenoh what wow hes the greatest dancer oh what wowoh what wow hes the greatest dancer oh what wow that ive ever seen i love your movesoh what wow hes the greatest dancer oh what wow that ive ever seenoh what wow hes the greatest dancer oh what wow that ive ever seen ive ever seenoh what wow hes the greatest dancer oh what wowoh what wow hes the greatest dancer oh what wow that ive ever seen i love your movesoh what wow hes the greatest dancer oh what wow that ive ever seen ",1
46,"sharing the night together","dr hook  the medicine show",1979,NA,NA
47,"she believes in me","kenny rogers",1979," while she lays sleeping i stay out late at night and play my songs and sometimes all the nights can be so long and its good when i finally make it home all alone while she lays dreaming i try to get undressed without the light and quietly she says how was your night and i come to her and say it was all right and i hold her tightand she believes in me ill never know just what she sees in me i told her someday if she was my girl i could change the world with my little songs i was wrong but she has faith in me and so i go on trying faithfully and who knows maybe on some special night if my song is right i will find a way find a waywhile she lays waiting i stumble to the kitchen for a bite then i see my old guitar in the night just waiting for me like a secret friend and theres no end while she lays crying i fumble with a melody or two and im torn between the things that i should do and she says to wake her up when i am through god her love is trueand she believes in me ill never know just what she sees in me i told her someday if she was my girl i could change the world with my little songs i was wrong but she has faith in me and so i go on trying faithfully and who knows maybe on some special night if my song is right i will find a way ",1
48,"in the navy","village people",1979," where can you find pleasure search the world for treasure learn science technology where can you begin to make your dreams all come true on the land or on the sea where can you learn to fly play in sports and skin dive study oceanography sign off for the big band or sit in the grandstand when your team and others meetin the navy yes you can sail the seven seas in the navy yes you can put your mind at ease in the navy come on people fall an make a stand in the navy in the navy cant you see we need a handin the navy come on protect the motherland in the navy come on and join your fellow man in the navy come on people and make a stand in the navy in the navy in the navy ohthey want you they want you they want you as a new recruitif you like adventure dont you wait to enter the recruiting office fast dont you hesitate there is no need to wait theyre signing up new seamen fast maybe you are too young to join up today but dont you worry bout a thing for im sure there will be always a good navy protecting the land and seain the navy yes you can sail the seven seas in the navy yes you can put your mind at ease in the navy come on people fall an make a stand in the navy in the navy cant you see we need a handin the navy come on protect the motherland in the navy come on and join your fellow man in the navy come on people and make a stand in the navy in the navy in the navy in the navythey want you they want you they want you as a new recruit who me they want you they want you they want you as a new recruit but but but im afraid of water hey hey look man i get seasick even watchin it on tvthey want you they want you in the navy oh my goodness they want you what am i gonna do in a submarine they want you they want you they want you in the navyin the navy yes you can sail the seven seas in the navy yes you can put your mind at ease in the navy come on people fall in make a stand in the navy in the navy cant you see we need a handin the navy come on protect the motherland in the navy come on and join your fellow man in the navy come on people and make a stand ",1
49,"music box dancer","frank mills",1979,"instrumental",3
50,"the devil went down to georgia","the charlie daniels band",1979,"the devil went down to georgia he was lookin for a soul to steal he was in a bind cause he was way behind and he was willin to make a deal when he came across this young man sawin on a fiddle and playin it hot and the devil jumped up on a hickory stump and said boy let me tell you what i guess you didnt know it but im a fiddle player too and if you care to take a dare ill make a bet with you now you play a pretty good fiddle boy but give the devil his due ill bet a fiddle of gold against your soul cause i think im better than you the boy said my names johnny and it might be a sin but ill take your bet and youre gonna regret cause im the best theres ever been johnny rosin up your bow and play your fiddle hard cause hells broke loose in georgia and the devil deals the cards and if you win you get this shiny fiddle made of gold but if you lose the devil gets your soul the devil opened up his case and he said ill start this show and fire flew from his fingertips as he rosined up his bow then he pulled the bow across the strings and it made ansicevil hiss and a band of demons joined in and it sounded something like this when the devil finished johnny said well youre pretty good old son but just sit down in that chair right there and let me show you how its done he played fire on the mountain run boys run the devils in the house of the rising sun chicken in a bread pan picken at dough granny does your dog bite no child no the devil bowed his head because he knew that hed been beat and he laid that golden fiddle on the ground at johnnys feet johnny said devil just come on back if you ever wanna try again i done told you once you son of a bitch im the best theres ever been and he played fire on the mountain run boys run the devils in the house of the rising sun chicken in a bread pan picken at dough granny does your dog bite no child no",3
51,"gold","john stewart",1979,"when the lights go down in the california town people are in for the evenin i jump into my car and i throw in my guitar my heart beatin time with my breathin drivin over kanan singin to my soul theres people out there turnin music into gold well my buddy jim bass hes aworkin pumpin gas and he makes two fifty for an hour hes got rhythm in his hands as hes tappin on the cans sings rock and roll in the shower drivin over kanan singin to my soul theres people out there turnin music into gold ah the california girls are the greatest in the world each ones a song in the makin singin rock to me i can hear the melody the story is there for the takin drivin over kanan singin to my soul theres people out there turnin music into gold drivin over kanan singin to my soul theres people out there turnin music into gold when the lights go down in the california town people are in for the evenin i jump into my car and i throw in my guitar my heart beatin time with my breathin drivin over kanan singin to my soul theres people out there turnin music into gold flyin over kanan singin to my soul people out there turnin music into gold people out there turnin music into gold people out there turnin music into gold oh yeah people out there turnin music into gold into gold people out there turnin music into gold into gold people out there turnin music into gold into gold people out there turnin music into gold into gold people out there turnin music into gold into gold people out there turnin music into gold into gold people out there turnin music into gold into gold",3
52,"goodnight tonight","wings",1979,"dont get too tired for love dont let it end ooh dont say goodnight to love it may never be the same again dont say it dont say it say anything but dont say goodnight tonight dont say it dont say it say anything but dont say goodnight tonight dont say it dont say it say anything but dont say goodnight tonight dont get too tired for love dont let it end dont say goodnight to love its a feeling that may never end dont say it dont say it say anything but dont say goodnight tonight dont say it dont say it say anything but dont say goodnight tonight dont say it dont say it say anything but dont say goodnight tonight ",3
