"Rank","Song","Artist","Year","Lyrics","Source"
12,"tired of being alone","al green",1971," im so tired of being alone im so tired of on my own wont you help me girl just as soon as you can people say that ive found a way to make you say that you love me but baby you didnt go for that ha its a natural fact that i want to come back show me where its at babyim so tired of being alone im so tired of on my own wont you help me girl soon as you can i guess you know that i uh i love you so even though you dont want me no more hey hey hey hey im cryin tears through the years i tell you like it is honey love me if you canya baby tired of being alone here by myself now i tell ya im tired baby im tired of being all wrapped up late at night in my dreams nobody but you baby sometimes i wonder if you love me like you say you do you see baby i i i ive been thinking about you ive been wanting to get next to you baby sometimes i hold my arms and i say oh baby yeah needing you has proven to me to be my greatest dream yeahawh ",1
13,"want ads","honey cone",1971,"wanted young man single and free experience in love preferred but will accept a young trainee oh im gonna put it in the want ads i need a love thats true gonna put it in the want ads my man and i are through at home i find myself lost and all alone my man is playing the field the thrill is gone he stays out all night says hes with the boys but lipstick on his collar perfume on it too tells me hes been lying tell ya what im gonna do im gonna put it in the want ads this girls in misery gonna put it in the want ads somebody rescue me i spend my nights alone cryin bitter tears although i cry aloud nobody really hears and when i need him most hes never by my side hes either playing cards or drinking at the bar he thinks that im a fool im going to the evening news gonna put it in the want ads i need somebody new gonna put it in the want ads my man and i are through extra extra read all about it wanted young man single and free experience in love preferred but will accept a young trainee extra extra read all about it wanted young man single and free experience in love preferred but will accept a young trainee oh im gonna put it in the want ads i need somebody new gonna put it in the want ads my man and i are through gonna put it in the want ads this girls in misery gonna put it in the want ads please somebody rescue me lipstick on his collar perfume on it too tells me hes been lying im going to the evening news gonna put it in the want ads i need somebody new gonna put it in the want ads my man and i are through gonna put it in the want ads this girls in misery gonna put it in the want ads please somebody rescue me",3
14,"smiling faces sometimes","the undisputed truth",1971," smiling faces sometimes pretend to be your friend smiling faces show no traces of the evil that lurks within smiling faces smiling faces sometimes they dont tell the truth uh smiling faces smiling faces tell lies and i got proofthe truth is in the eyes cause the eyes dont lie amen remember a smile is just a frown turned upside down my friend let me tell you smiling faces smiling faces sometimes they dont tell the truth uh smiling faces smiling faces tell lies and i got proof beware beware of the handshake that hides the snake im telling you beware beware of the pat on the back it just might hold you back jealousy jealousy misery misery envyi tell you you cant see behind smiling faces smiling faces sometimes they dont tell the truth smiling faces smiling faces tell lies and i got proofsmiling faces smiling faces sometimes they dont tell the truth smiling faces smiling faces tell lies and i got proof smiling faces smiling faces sometimes smiling faces smiling faces sometimes im telling you beware beware of the handshake that hides the snake listen to me now beware beware of that pat on the back it just might hold you back smiling faces smiling faces sometimes they dont tell the truth smiling faces smiling faces tell lies and i got proof ",1
15,"treat her like a lady","cornelius brothers  sister rose",1971,"all my friends had to ask me somethin they didnt understand how i get all the women in the palms of my hand now and i told them to treat her like a lady you got to got to treat her like um hum all the best you can do treat her like you got to got to treat her like you got to treat her like a lady she give into you ah hum now who can see you know what i mean i know you heard that a woman treat her right gotta treat her right will soon take advantage of you treat her right gotta treat her right let me tell you my friend treat her right gotta treat her right there just aint no substitute treat her right gotta treat her right you oughta a treat her like a lady you gotta gotta treat her like um hum all the best you can do treat her like you gotta gotta treat her like you gotta treat her like a lady she give into you ah hum now who can see you know what i mean oh youve got to love her tease her love her tease her but most of all youve gotta please her please her youve gotta hold her now an want her hold her want her and make her feel youll always need her need her you know a woman is sentimental woman woman and so easy to upset woman woman so make her feel feel that shes for real real an she give you happiness whoa oh oh strange as it seems treat her like you gotta treat her like you know you cant a woman mean treat her like gotta treat her like so my friends now there you have it i said its the easy simple way now if you fail uh ta do this dont blame her if she looks my way cause im gonna a a treat her like a lady you gotta gotta treat her like um hum so affectionately treat her like you gotta gotta treat her like im gonna treat her like a lady she give into me uh huh now who can see you know what i mean oh you gotta a treat her like a lady you gotta gotta treat her like um hum all the best you can do you gotta gotta treat her like you gotta treat her like a lady she give into you",3
16,"youve got a friend","james taylor",1971," when youre down and troubled and you need a helping hand and nothing nothing is going right close your eyes and think of me and soon i will be there to brighten up even your darkest nightyou just call out my name and you know wherever i am ill come running oh yeah baby to see you again winter spring summer or fall all youve got to do is call and ill be there ye ye ye youve got a friendif the sky above you should turn dark and full of clouds and that old north wind should begin to blow keep you head together and call my name out loud now soon youll hear me knocking at you dooryou just call out my name and you know wherever i am ill come running oh yes i will to see you again winter spring summer or fall ye all you have to do is call and ill be there ye ye yeahaint it good to know that youve got a friend when people can be so cold theyll hurt you and desert you and take your soul if you let them oh yeah dont you let em nowyou just call out my name and you know wherever i am ill come running to see you again oh baby dont you know winter spring summer or fall hey now all you have to do is call and ill be there yes i will youve got a friend youve got a friend yeahaint it good to know youve got a friend aint it good to know youve got a friendoh ye yeah youve got a friend ",1
17,"mr big stuff","jean knight",1971," oh yeah ooh mr big stuff who do you think you are mr big stuff youre never gonna get my lovenow because you wear all those fancy clothes oh yeah and have a big fine car oh yes you do now do you think i can afford to give you my love oh yeah you think youre higher than every star abovemr big stuff who do you think you are mr big stuff youre never gonna get my lovenow i know all the girls ive seen you with i know you broke their hearts one after another now bit by bit song text taken from stlyricscom you made em cry many poor girls cry when they try to keep you happy they just try to keep you satisfiedmr big stuff tell me tell me who do you think you are mr big stuff youre never gonna get my loveid rather give my love to a poor guy that has a love thats true oh yeah than to be fooled around and get hurt by you cause when i give my love i want love in return oh yeah now i know this is a lesson mr big stuff you havent learnedmr big stuff tell me who do you think you are mr big stuff youre never gonna get my lovemr big stuff youre never gonna break my heart mr big stuff youre never gonna make me crymr big stuff tell me just who do you think you are mr big stuff youre never gonna get my love mr big stuff ",1
18,"brown sugar","the rolling stones",1971,"gold coast slave ship bound for cotton fields sold in a market down in new orleans scarred old slaver know hes doin alright hear him whip the women just around midnight brown sugar how come you taste so good brown sugar just like a young girl should drums beating cold english blood runs hot lady of the house wonderin where its gonna stop house boy knows that hes doin alright you should a heard him just around midnight brown sugar how come you taste so good brown sugar just like a young girl should brown sugar how come you taste so good brown sugar just like a black girl should i bet your mama was a tent show queen and all her boyfriends were sweet sixteen im no school boy but i know what i like you should have heard me just around midnight brown sugar how come you taste so good brown sugar just like a young girl should i said yeah i said yeah i said yeah i said oh just like a black girl should",3
19,"do you know what i mean","lee michaels",1971," been forty days since i dont know when i just saw her with my best friend do you know what i mean do you know know what i meani just saw her yesterday i just saw her asked her to stay do you know what i mean lord do you know what i meanher and bobby were steppin out her and bobby didnt know i found out do you know what i mean do you know know what i meanso i asked her if she still cared she didnt hear me she just stared do you know what i mean lord do you know what i meanand then she said lee you havent loved me in nearly four years you havent noticed that i held back my tears and now you have but its really too late better find yourself another girl better find another girl better find uh another placeshe just left me yesterday she just left me had nothing to say do you know what i mean oh do you know what i meanshes a dandy yes indeed shes a dandy but now shes free do you know what i mean lord do you know what i meanbeen forty days since i dont know when i just saw her with my best friend do you know what i mean lord do you know what i meani just saw her yesterday i just saw her learn how to stay do you know what i mean lord do you know what i meanyeah here comes it nowhoooo help me ",1
20,"the night they drove old dixie down","joan baez",1971," virgil caine is my name and i drove on the danville train till so much cavalry came and tore up the tracks again in the winter of 65 we were hungry just barely alive i took the train to richmond that fell it was a time i remember oh so wellthe night they drove old dixie down and all the bells were ringin the night they drove old dixie down and all the people were singin they went na na naback with my wife in tennessee and one day she said to me virgil quick come see there goes robert e lee now i dont mind im chopping wood and i dont care if the moneys no good just take what you need and leave the rest but they should never have taken the very bestthe night they drove old dixie down and all the bells were ringin the night they drove old dixie down and all the people were singin they went na na nalike my father before me im a working man and like my brother before me i took a rebel stand but he was just 18 proud and brave but a yankee laid him in his grave i swear by the blood below my feet you cant raise a caine back up when hes in defeatthe night they drove old dixie down and all the bells were ringin the night they drove old dixie down and all the people were singin they went na na na ",1
21,"whats going on","marvin gaye",1971," mother mother theres too many of you crying brother brother brother theres far too many of you dying you know weve got to find a way to bring some lovin here today ehehfather father we dont need to escalate you see war is not the answer for only love can conquer hate you know weve got to find a way to bring some lovin here today oh oh ohpicket lines and picket signs dont punish me with brutality talk to me so you can see oh whats going on whats going on yeah whats going on ah whats going onin the mean time right on baby right on brother right on babemother mother everybody thinks were wrong oh but who are they to judge us simply cause our hair is long oh you know weve got to find a way to bring some understanding here today oh oh ohpicket lines and picket signs dont punish me with brutality cmon talk to me so you can see whats going on yeah whats going on tell me whats going on ill tell you whats going on ooh ooo ooo ooo right on baby right on baby ",1
22,"uncle albertadmiral halsey","paul  linda mccartney",1971,"were so sorry uncle albert were so sorry if we caused you any pain were so sorry uncle albert but theres no one left at home and i believe im gonna rain were so sorry but we havent heard a thing all day were so sorry uncle albert but if anything should happen well be sure to give a ring were so sorry uncle albert but we havent done a bloody thing all day were so sorry uncle albert but the kettles on the boil and were so easily called away hands across the water water heads across the sky hands across the water water heads across the sky admiral halsey notified me he had to have a berth or he couldnt get to sea i had another look and i had a cup of tea and butter pie butter piethe butter wouldnt melt so i put it in the pie hands across the water water heads across the sky hands across the water water heads across the sky live a little be a gypsy get aroundget around get your feet up off the ground live a little get around live a little be a gypsy get aroundget around get your feet up off the ground live a little get around hands across the water water heads across the sky hand across the water water heads across the sky",5
23,"aint no sunshine","bill withers",1971," aint no sunshine when shes gone its not warm when shes away aint no sunshine when shes gone and shes always gone too long anytime she goes awaywonder this time where shes gone wonder if shes gone to stay aint no sunshine when shes gone and this house just aint no home anytime she goes awayand i know i know i know i know i know i know i know i know i know i know i know i know i know i know i know i know i know i know i know i know i know i know i know i know i know i know hey i oughtta leave young thing alone but aint no sunshine when shes goneaint no sunshine when shes gone only darkness every day aint no sunshine when shes gone and this house just aint no home anytime she goes away anytime she goes away anytime she goes away anytime she goes away ",1
24,"signs","five man electrical band",1971," and the sign said longhaired freaky people need not apply so i tucked my hair up under my hat and i went in to ask him why he said you look like a fine upstanding young man i think youll do so i took off my hat i said imagine that huh me workin for you whoa oh ohsign sign everywhere a sign blockin out the scenery breakin my mind do this dont do that cant you read the signand the sign said anybody caught trespassin would be shot on sight so i jumped on the fence anda yelled at the house hey what gives you the right to put up a fence to keep me out or to keep mother nature in if god was here hed tell you to your face man youre some kinda sinnersign sign everywhere a sign blockin out the scenery breakin my mind do this dont do that cant you read the signnow hey you mister cant you read youve got to have a shirt and tie to get a seat you cant even watch no you cant eat you aint supposed to be here the sign said you got to have a membership card to get inside ughand the sign said everybody welcome come in kneel down and pray but when they passed around the plate at the end of it all i didnt have a penny to pay so i got me a pen and a paper and i made up my own little sign i said thank you lord for thinkin bout me im alive and doin fine woosign sign everywhere a sign blockin out the scenery breakin my mind do this dont do that cant you read the signsign sign everywhere a sign sign sign sign ",1
25,"shes a lady","tom jones",1971," well shes all youd ever want shes the kind i like to flaunt and take to dinner but she always knows her place shes got style shes got grace shes a winner shes a lady oh whoa whoa shes a lady talkin about that little lady and the lady is minewell shes never in the way always something nice to say and what a blessin i can leave her on her own knowin shes okay alone and theres no messin shes a lady oh whoa whoa shes a lady talkin about that little lady and the lady is minewell she never asks very much and i dont refuse her always treat her with respect i never would abuse her what shes got is hard to find and i dont want to lose her help me build a mountain from a little pile of clay hey hey heywell she knows what im about she can take what i dish out and thats not easy but she knows me through and through and she knows just what to do and how to please me shes a lady oh whoa whoa shes a lady talkin about that little lady and the lady is mine yeah yeah yeah shes a lady oh whoa whoa shes a lady listen to me people shes a lady yeah yeah yeah yeah shes a lady whoa whoa whoa shes a lady talkin about the little lady whoa whoa whoa whoa whoa whoa whoa whoa whoa whoa shes a lady yeah yeah yeah shes a lady whoa whoa lord shes a lady i cant live without that shes a lady ooh ooh shes a lady ",1
26,"superstar","murray head  the trindad singers",1971,NA,NA
27,"ive found someone of my own","the free movement",1971,NA,NA
