"Rank","Song","Artist","Year","Lyrics","Source"
67,"feel like makin love","bad company",1975," baby when i think about you i think about love darlin dont live without you and your love if i had those golden dreams of my yesterdays i would wrap you in the heaven til im dyin on the wayfeel like makin feel like makin love feel like makin love feel like makin love feel like makin love to youbaby if i think about you i think about love darlin if i live without you i live without love and if i had the sun and moon we will shine them i would give you both night and day of satisfynfeel like makin feel like makin love feel like makin love feel like makin love feel like makin love to youand if i had those golden dreams of my yesterdays i would wrap you in the heaven til im dyin on the wayfeel like makin feel like makin love feel like makin love feel like makin love feel like makin love to youwell i feel like makin love well i feel like makin love well i feel like makin love feel like makin love to youwell i feel like makin love well i feel like makin love well i feel like makin love feel like makin love to youwell i feel like makin love well i feel like makin love well i feel like makin love feel like makin love to youwell i feel like makin love ",1
68,"how sweet it is to be loved by you","james taylor",1975," how sweet it is to be loved by you how sweet it is to be loved by youi needed the shelter of someones arms and there you were i needed someone to understand my ups and downs and there you were with sweet love and devotion deeply touching my emotion i want to stop and thank you baby i wanna stop and thank you baby yes i dohow sweet it is to be loved by you feels so fine how sweet it is to be loved by youi close my eyes at night wondering where would i be without you in my life everything i did was just a bore everywhere i went it seems id been there before but you brighten up for me all of my days with a love so sweet in so many ways i wanna stop and thank you baby i just wanna stop and thank you baby oh yeshow sweet it is to be loved by you its just like sugar sometimes how sweet it is to be loved by you oh yeahyou were better to me than i was to myself for me theres you and there aint nobody else i wanna stop and thank you baby i just wanna stop and thank you baby oh yeshow sweet it is to be loved by you how sweet it is to be loved by you oh now how sweet it is to be loved by you its like jelly baby oh how sweet it is to be loved by you just like honey to the bee baby yeah now how sweet it is to be loved by you ",1
69,"dance with me","orleans",1975," dance with me i want to be your partner cant you see the music is just starting night is falling and i am falling dance with mefantasy could never be so killing i feel free i hope that you are willing pick the beat up and kick your feet up dance with melet it lift you off the ground starry eyes and love is all around us i can take you where you want to godance with me i want to be your partner cant you see the music is just starting night is falling and i am falling dance with melet it lift you off the ground starry eyes and love is all around us i can take you where you want to godance with me i want to be your partner cant you see the music is just starting night is falling and i am falling dance with me ",1
70,"cut the cake","average white band",1975," cut the cake give me a little piece let me lick up the cream cut the cake i need a little piece baby you know what i meancut the cake give me a little piece some lovin along the side cut the cake i need a little piece and you could keep me satisfied yeahgimme gimme gimme that cake it tastes so good dont pass it all around gimme gimme gimme that cake you got to cut itdowncut the cake i need a little piece of your sweet love cut the cake cant you see that i cant get enoughcut the cake dont you know that i aint a greedy man cut the cake got to see that ill do the best i canwell give me that chance baby that recipe is from my girl incomprehensible love and sugar baby incomprehensiblegimme gimme gimme that cake it tastes so good dont pass it all around gimme gimme gimme that cake got to cut itdown cut itdown we go right nowcut the cake give me a little piece and let me lick up the cream cut the cake i need a little piece baby you know what i meancut the cake give me a little piece some lovin along the side cut the cake i need a little piece and you could keep me satisfiedi like it like that i like it like that like it incomprehensible i like it like that yes i dogimme gimme gimme that cake it tastes so good dont pass it all around gimme gimme gimme that cake never knew you cooked the way you dogimme gimme gimme that cake it tastes so good dont pass the recipe around gimme gimme gimme that cake you got to cut it down cut it down cut it downcut the cake ",1
71,"never can say goodbye","gloria gaynor",1975," i never can say goodbye no no no no now never can say goodbyeeven though the pain and heartache seem to follow me wherever i go though i try and try to hide my feelings they always seem to showthen you try to say youre leaving me and i always have to say no tell me why is it sothat i never can say goodbye no no no no now never can say goodbyeevery time i think ive had enough and start heading for the door theres a very strange vibration piercing me right through the core it says turn around you fool you know you love him more and more tell me why is it sodont wanna let you go i never can say goodbye girl ooh ooh baby dont wanna let you go girl i never can say goodbye no no no no no no ooh oh i never can say goodbye girl ooh ooh ooh dont wanna let you go girl i never can say goodbye no no no no no no oohnever can say goodbye no no no no now never can say goodbyei keep thinking that our problems soon are all gonna work out but theres that same unhappy feeling theres that anguish theres that doubt its the same old dizzy hangup cant do with you or without tell me why is it so dont wanna let you goi never can say goodbye girl ooh ooh baby hey baby i never can say goodbye no no no no no no ooh oh i never can say goodbye girl ooh oh hey baby i never can say goodbye no no no no no no ooh i never can say goodbye girl ooh ooh baby hey baby i never can say goodbye no no no no no no ooh oh i never can say goodbye girl ooh oh hey baby ",1
72,"i dont like to sleep alone","paul anka",1975,"i dont like to sleep alone stay with me dont go talk with me for just a while so much of you to get to know reaching out touching you leaving all the worries behind loving you the way i do my mouth on yours and yours on mine marry me let me live with you nothings wrong and love is right like a man says in his song help me make it through the night loneliness can get you down when you get to thinking no one cares lean on me and ill lean on you together we will see it through no i dont like to sleep alone its sad to think some folks do no i dont like to sleep alone no one does do you no i dont like to sleep alone its sad to think some folks do no i dont like to sleep alone no one does do you",5
73,"morning side of the mountain","donny  marie osmond",1975,"there was a girl there was a boy there was a girl there was a boy if they had met they might have found a world of joy but he lived on the morning side of the mountain and she lived on the twilight side of the hill they never met they never kissed they will never know what happiness theyve missed cause he lived on the morningside of the mountain and she lived on the twilight side of the hill for loves a rose that never grows without the kiss of the morning dew and every jack must have a jill to know the thrill of a dream that comes true and you and i are just like they for all we know our love is just a kiss away but you are on the morning side of the mountain and you are on the twilight side of the hill and you and i are just like they for all we know our love is just a kiss away but you are on the morning side of the mountain and you are on the twilight side of the hill there was a girl there was a boy",3
74,"some kind of wonderful","grand funk railroad",1975," i dont need a whole lots of money i dont need a big fine car i got everything that a man could want i got more than i could ask for i dont have to run around i dont have to stay out all night cause i got me a sweet a sweet lovin woman and she knows just how to treat me rightwell my baby shes all right well my baby shes clean out of sight dont you know that shesshes some kind of wonderful shes some kind of wonderful yes she is shes a shes some kind of wonderful yeah yeah yeah yeahwhen i hold her in my arms you know she sets my soul on fire ooh when my baby kisses me my heart becomes filled with desire when she wraps her lovin arms around me it bout tires me out of my mind yeah when my baby kisses me chills run up and down my spinewell my baby shes all right uh my baby shes clean out of sight dont you know that shesshes some kind of wonderful shes some kind of wonderful yes she is shes a shes some kind of wonderful yeah yeah yeah yeahnow is there anybody got a sweet little woman like mine got to be somebody got got a sweet little woman like minecan i get a witness can i get a witness can i get a witness can i get a witness can i get a witness can i get a witnessim talkin talkin bout my baby shes some kind of wonderful yeah talkin bout my baby shes some kind of wonderful talkin bout my baby shes some kind of wonderful im talkin bout my baby shes some kind of wonderful my baby my baby im talkin about my baby my baby my baby shes some kind of wonderful yeah yeah yeah yeah my baby my baby shes some kind of wonderful talkin bout my baby my baby my baby shes some kind of wonderful im talkin bout my baby my baby my baby shes some kind of wonderful im talkin bout my baby shes some kind of wonderful shes some kind of wonderful ",1
75,"when will i see you again","the three degrees",1975," hoooo haa haa hoooo precious moments when will i see you again when will we share precious moments will i have to wait forever will i have to suffer and cry the whole night trough when will i see you again when will our hearts beat together are we in love or just friends is this my beginning or is this the end when will i see you again when will i see you again when will i see you again hoooo a hoooo precious moments are we in love or just friends is this my beginning or is this the end when will i see you again when will i see you again when will i see you again when will i see you again when will i see you again when will i see you again when will i see you again when will i see you again when will i see you again when will i see you again when will i see you again ",1
76,"get down get down get on the floor","joe simon",1975,"everybody wont you get on the floor get on the floor and let the good time roll we got a kung fu bumpin til its time to go get on the floor and let the good time roll come on get down get down grab your partner and dance to the beat get on the floor and let the good time roll let the music control your feet now get on the floor and let the good time roll come on and party baby get down get down get down all night long baby why dont ya get down get down me and you get down get down i know you have it get down get down why dont you get on the floor and let the good time roll come on and let it roll i feel the beat i feel the heat everybody wont you clap your hands and dance get on the floor and let the good time roll come on all you got to do is move your body and shake what you can oh baby get on the floor and let the good time roll oh let me tell ya your lookin good now get on the floor and let the good time roll come on baby get down get down get down come on and get down all the way baby get down get down i know you have it get down get down  operator get down get down why dont you get on the floor and let the good time roll everybody is lookin good now get down on the floor and let the good time roll oh ya and your doin that kung fu bumpin like i know you could now get down on the floor and let the good time roll it aint now harm yal get down on the floor and let the good time roll it aint no harm to do the bump get down on the floor and let the good time roll but someone out there is doin the devil bump look out get down on the floor and let the good time roll go ahead and do your thing baby get down on the floor and let the good time roll come on and bump baby get down on the floor and let the good time roll come on and kung fu kung fu kung fu kung fu bumpin now get down on the floor and let the good time roll oh your doin it tonight baby get down on the floor and let the good time roll you got me feelin good tonight oh baby get down on the floor and let the good time roll i aint felt this good honey get down on the floor and let the good time roll since i dont know when get down on the floor and let the good time roll i might not baby get down on the floor and let the good time roll oh honey i might not feel this good again get on the floor and let the good time roll you see thats why right now get down on the floor and let the good time roll im goin to get out on the floor get down on the floor and let the good time roll im goin to do my own thing tonight get down on the floor and let the good time roll you see somebody doin it like this get down on the floor and let the good time roll now the kool cats are doin it like this get down on the floor and let the good time roll ha ha eh get on the floor and let the good time roll come on come on come on eh come come come on come on oh baby",3
