"Rank","Song","Artist","Year","Lyrics","Source"
39,"somewhere out there","linda ronstadt and james ingram",1987," somewhere out there beneath the pale moon light someones thinking of me and loving me tonightsomewhere out there someones saying a prayer that well find one another in that big somewhere out thereand even though i know how very far apart we are it helps to think we might be wishing on the same bright starand when the night wind starts to sing a lonesome lullaby it helps to think were sleeping underneath the same big skysomewhere out there if love can see us through then well be together somewhere out there out where dreams come trueand even though i know how very far apart we are it helps to think we might be wishing on the same bright starand when the night wind starts to sing a lonesome lullaby it helps to think were sleeping underneath the same big skysomewhere out there if love can see us through then well be together somewhere out there out where dreams come true ",1
40,"land of confusion","genesis",1987," i mustve dreamed a thousand dreams been haunted by a million screams but i can hear the marching feet theyre moving into the streetnow did you read the news today they say the dangers gone away but i can see the fires still alight there burning into the nighttheres too many men too many people making too many problems and not much love to go round cant you see this is a land of confusionwell this is the world we live in and these are the hands were given use them and lets start trying to make it a place worth living inooh superman where are you now when everythings gone wrong somehow the men of steel the men of power are losing control by the hourthis is the time this is the place so we look for the future but theres not much love to go round tell me why this is a land of confusionthis is the world we live in and these are the hands were given use them and lets start trying to make it a place worth living ini remember long ago when the sun was shining yes and the stars were bright all through the night and the sound of your laughter as i held you tight so long agoi wont be coming home tonight my generation will put it right were not just making promises that we know well never keeptoo many men theres too many people making too many problems and not much love to go round cant you see this is a land of confusionnow this is the world we live in and these are the hands were given use them and lets start trying to make it a place worth fighting for this is the world we live inthis is the world we live in and these are the names were given stand up and lets start showing just where our lives are going to ",1
41,"jacobs ladder","huey lewis and the news",1987,"i met a fan dancer down in south side birmingham she was running from a fat man selling salvation in his hand now hes trying to save me well im doing alright the best that i can just another fallen angel trying to get through the night step by step one by one higher and higher step by step rung by rung climbing jacobs ladder coming over the airwaves the man says im overdue sing along send some money join the chosen few hey mister im not in a hurry and i dont want to be like you and all i want from tomorrow is to get it better than today step by step one by one higher and higher step by step rung by rung climbing jacobs ladder all i want from tomorrow is to get it better than today step by step one by one higher and higher step by step rung by rung climbing and climbing step by step one by one step by step rung by rung step by step step by step step by step",3
42,"whos that girl","madonna",1987," whos that girl whos that girlwhen you see her say a prayer and kiss your heart goodbye shes trouble in a word get closer to the fire run faster her laughter burns you up inside youre spinning round and round you cant get up you try but you cantquien es esa nina whos that girl senorita mas fina whos that girl quien es esa nina whos that girl senorita mas fina whos that girlyou try to avoid her fate is in your hands shes smiling an invitation to the dance her heart is on the street tu corazon es suyo now youre falling at her feet you try to get away but you cantquien es esa nina whos that girl senorita mas fina whos that girl quien es esa nina whos that girl senorita mas fina whos that girllight up my life so blind i cant see light up my life no one can help me nowrun faster her laughter burns you up inside youre spinning round and round you cant get up you try but you cantquien es esa nina whos that girl senorita mas fina whos that girl quien es esa nina whos that girl senorita mas fina whos that girllight up my life so blind i cant see light up my life no one can help me nowwhos that girl now whos that girl now whos that girl now whos that girlquien es esa nina whos that girl senorita mas fina whos that girl quien es esa nina whos that girl senorita mas fina whos that girlquien es esa nina whos that girl senorita mas fina whos that girl quien es esa nina whos that girl senorita mas fina whos that girlquien es esa nina whos that girl senorita mas fina whos that girl ",1
43,"you got it all","the jets",1987," i i was a game he would play he brought the clouds to my day then like a ray of light you came my way one night just one look and i knewyou would make everything clear make all the clouds disappear put all your fears to rest who do i love the best dont you know dont you knowyou got it all over him you got me over him honey its true theres just you you must have been heaven sent hearing me call you went out on a limb and youre all that hes not just look what i got cause you got it all over himno dont let him worry you so once i met you i let go oh you can surely see youre so much more to me just one look and i knewyou would make everything clear make all the clouds disappear youre better than all the rest who do i love the best dont you know dont you knowyou got it all over him you got me over him honey its true theres just you you must have been heaven sent hearing me call you went out on a limb and youre all that hes not all that hes not just look what i got look what i got cause you got it all you got it all all over himyou got it all over him you got me over him honey its true theres just you you must have been heaven sent hearing me call you went out on a limb and youre all that hes not all that hes not just look what i got look what i got cause you got it all you got it all all over himyou got it all over him you got me over him honey its true theres just you you must have been heaven sent ",1
44,"touch me i want your body","samantha fox",1987," ah touch me this is the night ah touch mei want to feel your body ah ahfull moon in the city and the night was young i was hungry for love i was hungry for fun i was hunting you down and i was the bait when i saw you there i didnt need to hesitatechorus this is the night this is the night this is the time weve got to get it right this is the night touch me touch me i want to feel your body your heartbeat next to mine this is the night touch me touch me nowquick as a flash you disappeared into the night did i hurt you boy didnt i treat you right you made me feel so good made me feel myself now im alone and youre with somebody elsechorustouch me touch me now touch me touch me nowhot and cold emotion confusing my brain i could not decide between pleasure and pain like a tramp in the night i was begging for you to treat my body like you wanted tooh oh oh oh oh i was begging for youthis is the night touch me touch me i want to feel your body your heartbeat next to mine this is the night cause i want your body all the timeah touch me touch me touch me this is the night touch me touch mei want to feel your body this is the night i want to feel your body this is the night ",1
45,"i just cant stop loving you","michael jackson with siedah garrett",1987," each time the wind blows i hear your voice so i call your name whispers at morning our love is dawning heavens glad you cameyou know how i feel this thing cant go wrong im so proud to say i love you your loves got me high i long to get by this time is forever love is the answeri hear your voice now you are my choice now the love you bring heavens in my heart at your call i hear harps and angels singyou know how i feel this thing cant go wrong i cant live my life without youi just cant hold oni feel we belong my life aint worth living if i cant be with youi just cant stop loving you i just cant stop loving you and if i stop then tell me just what will i docause i just cant stop loving youat night when the stars shine i pray in you ill find a love so truewhen morning awakes me will you come and take me ill wait for youyou know how i feel i wont stop until i hear your voice saying i doi do this thing cant go wrongthis feelings so strongwell my life aint worth livingif i cant be with you i just cant stop loving you i just cant stop loving you and if i stop then tell me just what will i doi just cant stop loving youwe can change all the world tomorrow we can sing songs of yesterday i can say hey farewell to sorrow this is my life and i want to see you for alwaysi just cant stop loving you i just cant stop loving you if i cant stop and if i stop then tell me just what will i doi just cant stop loving you i just cant stop loving you you know i do then tell me just what will i do ",1
46,"causing a commotion","madonna",1987," ive got the moves baby youve got the motion if we got together wed be causing a commotion ive got the moves baby youve got the motion if we got together wed be causing a commotionyou met your match when you met me i know that you will disagree its crazy but opposites attract youll see and i wont let you get away so easythe love you save may be your own cant fight this feeling arent you tired of being alone you wont admit it but you know its true its not a secret how i feel when i stand next to youive got the moves baby youve got the motion if we got together wed be causing a commotion ive got the moves baby youve got the motion if we got together wed be causing a commotionsomeday youll see my point of view you cant keep wishing on the stars baby what works for me can work for you youve got to make a compromise and maybethen we can keep our love alive and when it falls we wont let it die it doesnt matter if you win or lose its how you play the game so get into the grooveive got the moves baby youve got the motion if we got together wed be causing a commotion ive got the moves baby youve got the motion if we got together wed be causing a commotioncausing a commotion causing a commotion causing a commotion causing a commotioni hope you find what youre looking for is it mine walk through that door were wasting time make up your mind and get into the groovethen we can keep our love alive and when it falls we wont let it die it doesnt matter if you win or lose its how you play the game so get into the groovei hope you find what youre looking for is it mine walk through that door were wasting time make up your mind and get into the grooveive got the moves baby youve got the motion if we got together wed be causing a commotion ive got the moves baby youve got the motion if we got together wed be causing a commotioncausing a commotion causing a commotion causing a commotion causing a commotionive got the moves baby youve got the motion if we got together wed be causing a commotion ive got the moves baby youve got the motion if we got together wed be causing a commotion ",1
47,"in too deep","genesis",1987," all that time i was searching nowhere to run to it started me thinking wondering what i could make of my life and whod be waiting asking all kinds of questions to myself but never finding the answers crying at the top of my voice and no one listening all this time i still remember everything you said theres so much you promised how could i ever forgetlisten you know i love you but i just cant take this you know i love you but im playing for keeps although i need you im not gonna make this you know i want to but im in too deepso listen listen to me ooh you must believe me i can feel your eyes go thru me but i dont know whyooh i know youre going but i cant believe its the way that youre leaving its like we never knew each other at all it may be my fault i gave you too many reasons being alone when i didnt want to i thought youd always be there i almost believed you all this time i still remember everything you said oh theres so much you promised how could i ever forgetlisten you know i love you but i just cant take this you know i love you but im playing for keeps although i need you im not gonna make this you know i want to but im in too deepso listen listen to me i can feel your eyes go thru me it seems ive spent too long only thinking about myself  oh now i want to spend my life just caring bout somebody elselisten you know i love you but i just cant take this you know i love you but im playing for keeps although i need you im not gonna make this you know i want to but im in too deeplisten you know i love you but i just cant take this you know i love you but im playing for keeps although i need you im not gonna make this you know i want to but im in too deep ",1
48,"lets wait awhile","janet jackson",1987," theres something i want to tell you theres something i think that you should know its not that i shouldnt really love you lets take it slow when we get to know each other and were both feeling much stronger then lets try to talk it over lets wait awhile longerlets wait awhile before its too late lets wait awhile before we go too farremember that special night when all of the stars were shining bright we made our first endeavor to stay together we made our very first promise to love to share and be real honest but on that very first night it wasnt quite rightlets wait awhile before its too late lets wait awhile our love will be great lets wait awhile before we go too fari didnt really know not to let all my feelings show to save some for later so our love can be greater you said you would always love me remember i said the same thing to you you dont have to be frightened with my love because ill never give up on you lets wait awhile ah well before its too late you know you cant rush love lovelets wait awhile ooh hoo hoo before its too late lets wait awhile wait awhile our love will be great lets wait awhile before we go too far oh oh oohlets wait awhile lets just take our time before its too late lets wait awhile your loves so good we shouldnt rush in lets wait awhile slow it down before we go too far oohla da lee de da da de de de da da da da la da la da lee de da da de de de da da da da la da da la da lee de da da de de dei promise ill be worth the wait ",1
